# Pathway	PCMP_EBneg1.cat.filtered2_Abundance	PCMP_EBneg2.cat.filtered2_Abundance	PCMP_L001.cat.filtered2_Abundance	PCMP_L002.cat.filtered2_Abundance	PCMP_L006.cat.filtered2_Abundance	PCMP_L011.cat.filtered2_Abundance	PCMP_L018.cat.filtered2_Abundance	PCMP_L039.cat.filtered2_Abundance	PCMP_L041.cat.filtered2_Abundance	PCMP_L051.cat.filtered2_Abundance	PCMP_L063.cat.filtered2_Abundance	PCMP_L066.cat.filtered2_Abundance	PCMP_L069.cat.filtered2_Abundance	PCMP_L077.cat.filtered2_Abundance	PCMP_L079.cat.filtered2_Abundance	PCMP_L089.cat.filtered2_Abundance	PCMP_L1.cat.filtered2_Abundance	PCMP_L104.cat.filtered2_Abundance	PCMP_L108.cat.filtered2_Abundance	PCMP_L111.cat.filtered2_Abundance	PCMP_L113.cat.filtered2_Abundance	PCMP_L117.cat.filtered2_Abundance	PCMP_L118.cat.filtered2_Abundance	PCMP_NL087.cat.filtered2_Abundance	PCMP_NL090.cat.filtered2_Abundance	PCMP_NL091.cat.filtered2_Abundance	PCMP_NL093.cat.filtered2_Abundance	PCMP_NL099.cat.filtered2_Abundance	PCMP_NL100.cat.filtered2_Abundance	PCMP_NL101.cat.filtered2_Abundance	PCMP_NL102.cat.filtered2_Abundance	PCMP_NL105.cat.filtered2_Abundance	PCMP_NL108.cat.filtered2_Abundance	PCMP_NL114.cat.filtered2_Abundance	PCMP_NL119.cat.filtered2_Abundance	PCMP_NL121.cat.filtered2_Abundance	PCMP_NL122.cat.filtered2_Abundance	PCMP_NL125.cat.filtered2_Abundance	PCMP_NL128.cat.filtered2_Abundance	PCMP_NL129.cat.filtered2_Abundance	PCMP_NL130.cat.filtered2_Abundance	PCMP_NL131.cat.filtered2_Abundance	PCMP_NL132.cat.filtered2_Abundance	PCMP_T1.cat.filtered2_Abundance	PCMP_X2.cat.filtered2_Abundance	PCMP_Z2.cat.filtered2_Abundance	PCMP_vibriolambda1.cat.filtered2_Abundance	PCMP_vibriolambda2.cat.filtered2_Abundance
METHGLYUT-PWY: superpathway of methylglyoxal degradation	0	0	75	56	93	66	42	88	69	78	42	126	49	61	99	35	200	135	112	100	138	114	24	66	31	428	203	0	53	87	83	76	37	25	62	95	79	38	29	102	0	0	190	145	131	128	0	0
METSYN-PWY: L-homoserine and L-methionine biosynthesis	0	0	968	173	753	777	1478	1262	637	559	889	1057	456	1202	657	1137	2847	2650	1199	1117	1170	606	2112	953	354	1950	1972	35	854	2564	988	448	871	487	797	1726	1736	369	1242	923	242	129	1393	3212	2772	2942	1974	0
NAD-BIOSYNTHESIS-II: NAD salvage pathway II	0	0	6	0	127	144	90	2	194	4	125	25	15	14	31	19	3371	38	69	71	4	93	115	49	0	566	226	0	8	75	11	0	11	3	133	27	14	0	0	0	3	0	51	4099	3160	3596	0	0
NAGLIPASYN-PWY: lipid IVA biosynthesis	0	25	137	79	101	192	295	40	198	616	47	984	828	178	1400	74	2216	72	342	550	292	54	205	79	331	428	307	0	891	29	694	0	120	167	195	89	61	102	171	0	0	0	26	2347	1770	2174	1223	0
NONMEVIPP-PWY: methylerythritol phosphate pathway I	15	127	5027	2965	1865	4830	5090	5234	5307	4404	3950	6278	4328	4113	5727	3747	3780	5147	4745	4696	4994	2047	5716	4186	2777	4273	8805	54	5893	6425	6194	3738	3251	2284	3267	5752	3537	2151	3335	4482	223	626	5704	4327	3414	3763	1397	0
NONOXIPENT-PWY: pentose phosphate pathway (non-oxidative branch)	18	142	1741	1237	2373	2208	2121	3281	2734	3372	2412	4716	2894	5358	3742	5002	6786	3787	2915	2586	2242	654	4753	5305	2063	2565	8276	53	3113	4441	5411	2560	2813	2343	3616	5532	3449	2327	2003	4864	471	370	6161	7151	5635	6269	0	0
OANTIGEN-PWY: O-antigen building blocks biosynthesis (E. coli)	0	0	1453	1206	1096	1618	754	1565	2595	2230	710	2920	1920	1689	2623	1191	3240	2042	2311	1645	1537	983	1723	1699	1325	2036	4733	70	2068	2378	3362	1792	1904	1265	1486	2574	2545	1122	1206	1967	180	305	2476	3465	2825	3056	0	0
ORNARGDEG-PWY: superpathway of L-arginine and L-ornithine degradation	0	0	0	0	48	2	2	0	3	0	5	10	7	6	0	0	2376	8	0	5	0	33	0	20	0	294	71	0	0	0	7	0	0	7	0	0	20	0	0	0	0	0	0	2610	1984	2279	0	0
ORNDEG-PWY: superpathway of ornithine degradation	0	0	0	0	263	64	104	0	464	0	74	273	138	229	0	0	1971	38	0	59	0	68	0	112	0	392	431	0	0	0	0	0	0	60	0	0	0	0	0	0	0	0	0	2163	1653	1855	0	0
P101-PWY: ectoine biosynthesis	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	35	1711	0
P105-PWY: TCA cycle IV (2-oxoglutarate decarboxylase)	0	46	80	0	425	149	43	223	80	110	164	75	178	228	153	176	4130	111	120	153	0	110	0	321	48	885	715	0	298	27	319	0	332	45	270	827	652	183	0	538	0	0	467	4797	3619	4110	50	0
P108-PWY: pyruvate fermentation to propanoate I	0	0	614	1058	393	3523	233	1770	1313	1442	1906	1442	772	732	1651	796	1190	1999	2607	1247	3122	1407	1746	1343	686	2085	2462	5	1734	3346	2175	570	836	424	331	1896	935	483	476	423	0	211	1161	1835	1416	1651	0	0
P122-PWY: heterolactic fermentation	0	0	197	104	159	330	116	355	434	131	195	422	65	42	157	149	3371	610	425	250	467	115	368	207	0	816	435	0	310	840	139	28	506	98	8	273	467	69	267	188	10	22	179	3517	2780	3089	0	0
P124-PWY: Bifidobacterium shunt	0	0	774	170	74	324	294	763	1071	387	143	661	132	65	279	174	989	834	451	940	773	60	1058	509	0	719	242	0	508	1553	315	51	904	117	10	587	536	20	710	434	10	20	267	1185	1037	1148	0	0
P125-PWY: superpathway of (R,R)-butanediol biosynthesis	0	0	0	3	0	0	11	8	0	10	16	24	0	0	14	11	38	8	10	25	9	0	34	170	3	6	6	0	8	6	20	0	88	0	11	61	3	10	9	0	7	0	35	47	36	37	0	0
P161-PWY: acetylene degradation	0	0	578	262	569	624	719	1131	507	556	859	985	210	748	546	491	4762	2176	1188	1002	1220	379	1997	1139	383	1396	1377	27	682	2759	1281	634	831	441	541	1483	1142	415	688	890	165	130	1191	4867	4011	4391	2146	0
P162-PWY: L-glutamate degradation V (via hydroxyglutarate)	0	0	718	606	816	410	206	618	1111	1205	572	1406	771	1191	1359	921	106	987	774	710	313	474	554	1381	660	343	3062	0	778	507	1446	827	931	704	1310	1898	1019	680	481	1877	80	115	2076	160	141	129	0	0
P163-PWY: L-lysine fermentation to acetate and butanoate	0	0	236	758	241	157	34	97	1438	1736	76	735	1061	830	1878	89	301	336	991	658	610	367	139	1655	1588	93	2713	0	1469	414	2144	482	749	252	314	2820	592	687	85	384	0	98	336	497	458	398	0	0
P164-PWY: purine nucleobases degradation I (anaerobic)	0	0	247	80	332	429	287	494	430	551	326	968	900	347	929	191	881	1022	550	687	382	524	674	359	189	734	532	0	760	543	540	101	190	274	326	195	143	153	480	105	428	60	502	291	278	366	0	0
P185-PWY: formaldehyde assimilation III (dihydroxyacetone cycle)	0	0	977	444	1090	796	412	916	1507	1383	1078	1516	1094	2914	1211	1871	3938	2410	1548	1434	1022	398	2345	2921	864	1232	4397	17	1037	2396	2916	1018	1175	1011	1452	3408	1705	1310	1133	2851	499	145	2718	3558	2899	3442	0	0
P221-PWY: octane oxidation	36	314	404	6	101	258	257	303	11	322	480	594	304	93	408	92	222	523	503	556	226	208	404	8	141	547	93	0	270	578	97	27	205	285	84	229	471	92	437	192	0	56	760	258	185	194	30	0
P23-PWY: reductive TCA cycle I	0	0	251	154	216	214	223	178	274	311	49	652	101	37	297	444	38	314	420	357	346	47	32	112	217	526	706	0	98	122	262	0	274	194	90	315	179	103	177	115	0	43	62	59	42	24	0	0
P241-PWY: coenzyme B biosynthesis	0	0	0	0	0	9	0	31	0	3	16	27	0	0	0	0	0	12	0	18	0	0	20	0	0	10	18	0	13	0	0	0	0	0	0	34	0	0	0	21	0	0	0	0	0	0	0	0
P261-PWY: coenzyme M biosynthesis I	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	3	0	0	0	0	0	0	5	0	0	0	0	0	0	0	0
P4-PWY: superpathway of L-lysine, L-threonine and L-methionine biosynthesis I	0	0	550	218	623	360	399	448	343	411	371	843	332	580	494	833	1466	1063	756	909	885	255	467	714	236	1266	1393	28	425	1443	958	196	662	308	671	1033	1428	258	290	591	73	22	693	1696	1470	1635	1570	0
P42-PWY: incomplete reductive TCA cycle	0	0	846	764	1028	565	222	685	996	1238	350	2100	884	1608	1505	1920	282	1507	1097	1236	1096	92	710	1713	550	924	2820	0	1356	1072	2002	584	1217	800	1791	2125	1108	640	247	1217	0	142	1302	260	222	171	0	0
P441-PWY: superpathway of N-acetylneuraminate degradation	0	0	664	456	923	933	683	1676	1204	501	1111	1822	286	1285	467	1179	4353	750	991	542	299	912	824	1312	611	1740	2838	0	788	313	783	783	447	580	1207	996	1034	185	743	1362	293	121	2218	4623	3600	4110	0	0
P461-PWY: hexitol fermentation to lactate, formate, ethanol and acetate	0	0	98	37	573	275	109	1233	180	10	375	792	91	261	76	530	5469	496	286	173	328	120	1011	370	326	1005	300	17	130	897	58	57	63	77	9	473	125	33	308	238	57	15	1367	5745	4429	5087	0	0
P562-PWY: myo-inositol degradation I	0	0	51	5	37	85	49	65	0	16	41	68	12	38	24	79	46	126	105	66	85	8	223	19	13	133	7	0	13	293	32	0	19	10	0	126	46	0	92	223	0	5	89	52	51	49	0	0
P621-PWY: nylon-6 oligomer degradation	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	7	0	0	0	0	0	0
PANTO-PWY: phosphopantothenate biosynthesis I	26	223	2789	1560	1596	3776	2170	3496	3343	3089	3211	4677	3087	2943	4287	4137	4126	3779	3546	3052	3849	1590	4028	3313	2190	3157	7575	60	4322	4341	4658	1395	2433	1575	2759	4164	2807	1831	2026	3025	667	398	4486	4041	2964	3546	1473	0
PANTOSYN-PWY: pantothenate and coenzyme A biosynthesis I	17	128	2176	1387	1640	2573	1543	2906	2911	2556	2558	3891	2449	3326	3283	3882	3832	3763	2968	2372	2465	1116	3913	3284	1834	2607	7334	47	3003	3895	4459	1457	2277	1519	3075	3823	2490	1653	1850	3584	455	285	3966	3966	2909	3445	15	0
PENTOSE-P-PWY: pentose phosphate pathway	0	0	350	411	551	752	224	587	1058	174	675	630	97	98	317	308	4807	1148	857	407	709	344	973	269	193	1430	887	47	603	1196	200	183	712	203	45	389	992	104	464	302	258	146	444	4873	3923	4235	0	0
PEPTIDOGLYCANSYN-PWY: peptidoglycan biosynthesis I (meso-diaminopimelate containing)	17	121	4784	3575	2927	4467	4783	4627	6931	5396	3947	7277	4938	5766	6489	6342	4589	4770	5021	4605	4813	1999	5279	5479	3786	4261	10952	67	6426	6401	7086	5176	4316	2578	5357	7098	3935	2934	3195	6119	834	702	6985	5002	3918	4486	1465	0
PHOSLIPSYN-PWY: superpathway of phospholipid biosynthesis I (bacteria)	0	0	739	394	665	1054	1709	632	290	1123	758	1872	735	1182	1406	702	3821	962	883	1586	1361	355	1299	936	396	1760	2018	0	751	777	1994	203	858	902	817	801	754	286	640	493	0	161	1325	4396	3328	3831	0	0
POLYAMINSYN3-PWY: superpathway of polyamine biosynthesis II	0	0	500	95	154	293	253	1114	198	204	234	486	90	178	267	190	161	80	250	115	66	120	221	114	94	448	606	0	174	34	336	45	217	195	109	197	149	47	171	63	0	71	174	207	131	203	0	0
POLYAMSYN-PWY: superpathway of polyamine biosynthesis I	0	0	534	71	193	364	329	1776	225	239	312	492	99	243	338	231	396	705	441	308	151	296	800	143	83	933	663	0	250	1060	398	59	310	213	117	493	344	121	303	183	0	49	453	620	493	509	0	0
POLYISOPRENSYN-PWY: polyisoprenoid biosynthesis (E. coli)	0	0	219	306	624	243	140	152	331	645	144	636	607	750	671	278	1836	411	319	446	163	200	293	1004	260	573	1217	0	391	277	1176	253	387	316	408	943	471	399	208	584	0	8	495	1587	1262	1444	0	0
PPGPPMET-PWY: ppGpp biosynthesis	0	0	291	316	736	392	268	189	744	1109	207	1318	1037	958	1467	1170	3138	450	747	1067	402	392	554	981	472	800	1779	30	1053	392	2291	304	699	565	629	1309	902	657	268	778	0	105	631	3451	2683	3020	1473	0
PROPFERM-PWY: L-alanine fermentation to propanoate and acetate	0	0	10	0	0	5	0	54	0	16	12	35	12	17	21	9	0	77	17	25	6	53	12	26	0	13	33	0	19	14	21	5	16	8	0	40	16	0	8	37	0	0	64	0	0	0	0	0
PROTOCATECHUATE-ORTHO-CLEAVAGE-PWY: protocatechuate degradation II (ortho-cleavage pathway)	39	255	0	0	17	13	0	0	0	0	6	27	0	0	0	0	76	0	0	0	0	0	0	7	0	0	0	0	0	0	0	0	6	12	0	0	25	30	0	0	0	0	0	129	87	55	4	0
PRPP-PWY: superpathway of histidine, purine, and pyrimidine biosynthesis	0	0	964	504	845	972	685	1121	744	576	860	2024	841	932	651	1245	3523	1544	1658	1397	1968	486	927	1342	451	1859	2338	0	1112	2808	1315	460	1125	644	1096	2033	1902	706	795	1324	0	198	1839	2642	2169	2527	0	0
PWY-1042: glycolysis IV (plant cytosol)	0	0	5751	3845	2967	8568	5011	6364	6496	4938	6214	7864	4210	6198	6315	6357	7027	7119	7017	5421	7286	3408	8199	5972	3027	7090	11948	81	6484	9946	8092	5607	4415	3289	5004	8260	5198	3128	4203	5488	885	792	8573	7679	5924	6860	2261	0
PWY-1269: CMP-3-deoxy-D-manno-octulosonate biosynthesis I	6	0	604	641	445	564	590	1370	578	946	164	1458	937	703	1455	779	2978	349	593	1352	1338	701	620	654	305	1054	1038	2	1203	491	1146	2178	492	363	511	307	169	214	488	193	0	120	595	3253	2497	2869	1323	0
PWY-1361: benzoyl-CoA degradation I (aerobic)	7	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	27	0	0	0	0	0	0	0	0	0	0	0
PWY-1541: superpathway of taurine degradation	0	0	0	0	0	0	0	0	0	0	0	0	9	0	0	0	0	0	9	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
PWY-1622: formaldehyde assimilation I (serine pathway)	0	0	0	0	0	0	0	29	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	17	24	0	0	0	0	0	0	0	0	0	0
PWY-181: photorespiration	0	0	0	0	0	0	0	58	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	28	40	0	0	0	0	0	0	0	0	0	0
PWY-1861: formaldehyde assimilation II (RuMP Cycle)	0	0	18	0	56	98	0	30	0	0	130	56	52	38	0	397	206	249	96	84	117	23	284	159	179	88	162	0	72	36	0	0	65	13	0	122	31	0	110	48	424	0	91	148	182	118	0	0
PWY-2201: folate transformations I	0	0	217	97	38	87	163	0	163	257	65	547	395	314	529	64	0	120	235	425	207	56	0	193	92	93	365	0	354	55	570	25	152	157	184	346	106	76	0	21	0	9	225	0	0	0	0	0
PWY-2221: Entner-Doudoroff pathway III (semi-phosphorylative)	0	0	0	0	0	0	0	0	32	0	33	35	0	0	21	0	0	0	53	0	0	0	0	0	0	71	28	0	0	0	22	0	0	0	0	42	29	0	0	0	0	0	0	0	0	0	0	0
PWY-241: C4 photosynthetic carbon assimilation cycle, NADP-ME type	0	28	149	70	133	141	275	375	250	182	217	366	44	14	242	173	621	311	258	178	166	79	108	42	182	594	430	0	37	617	109	14	513	107	36	133	755	50	206	60	14	20	138	317	277	360	0	0
PWY-2723: trehalose degradation V	0	0	5	0	102	39	5	0	10	0	28	21	5	5	34	0	2359	10	18	29	0	75	0	29	0	402	79	0	0	0	0	0	0	5	0	0	5	0	0	0	5	0	0	2543	1863	2286	0	0
PWY-2941: L-lysine biosynthesis II	0	0	875	405	803	557	323	798	1368	1037	353	1398	355	980	932	874	3497	1178	791	733	632	1417	1041	1320	345	527	1839	11	475	837	944	563	560	281	1227	1588	841	289	577	1221	115	143	796	3438	2745	3127	0	0
PWY-2942: L-lysine biosynthesis III	13	150	4233	2938	1278	4057	4188	4158	4723	3355	3139	4423	3240	2116	4748	1927	4037	4220	3832	3653	4069	2124	4648	2419	2421	3622	5948	62	4941	5124	4060	3349	2618	1317	1891	3219	2805	1280	2620	2090	257	611	3940	4473	3558	3906	1773	0
PWY-3001: superpathway of L-isoleucine biosynthesis I	18	171	2084	1007	1176	1459	1564	3453	1081	1053	1621	2787	799	1301	1571	1871	4647	3465	2288	2091	2450	783	2660	1953	617	2926	3137	67	1798	3943	2288	809	1509	974	1157	3054	2360	598	1594	1664	256	267	3238	4991	4047	4304	1859	0
PWY-3481: superpathway of L-phenylalanine and L-tyrosine biosynthesis	0	0	0	0	13	0	23	0	7	0	6	0	4	15	11	0	0	31	11	12	0	0	35	10	0	9	0	0	11	26	0	0	0	0	22	15	0	0	16	13	0	0	9	0	0	0	0	0
PWY-3781: aerobic respiration I (cytochrome c)	69	446	677	578	309	100	8	11	576	867	210	1847	460	1688	797	1450	2539	160	536	918	263	11	17	2345	413	0	2004	57	737	47	2453	24	1168	733	1099	1322	1498	327	156	820	118	138	237	2482	2031	2070	2175	0
PWY-3801: sucrose degradation II (sucrose synthase)	0	0	164	0	0	0	0	0	0	0	37	0	0	0	95	0	0	0	0	0	0	0	0	0	0	0	0	0	148	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
PWY-3841: folate transformations II	25	187	3775	3092	2086	4211	3106	3823	6122	4478	3011	5347	4225	4632	5472	2997	4248	5515	4229	3790	4234	1902	4338	4414	3081	3487	9106	80	5373	5263	6807	3992	3402	2137	3510	5848	3420	2700	2238	3958	502	621	4905	4441	3417	3844	1631	0
PWY-3941: &beta;-alanine biosynthesis II	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0
PWY-4041: &gamma;-glutamyl cycle	0	0	139	64	333	142	56	17	660	592	127	778	586	914	521	150	4734	62	162	220	53	111	97	1075	237	783	1307	0	478	48	1527	214	458	383	356	1071	403	503	158	551	246	20	572	4745	3642	4262	2030	0
PWY-4202: arsenate detoxification I (glutaredoxin)	0	0	65	0	43	32	0	0	0	263	0	59	209	1723	314	54	0	0	133	64	0	0	0	815	140	0	228	0	147	10	1395	75	180	232	33	1099	49	563	0	374	0	0	437	0	0	0	0	0
PWY-4221: pantothenate and coenzyme A biosynthesis II (plants)	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	3	0	0	0	0	0	0	0	0	0	0	0
PWY-4242: pantothenate and coenzyme A biosynthesis III	16	114	1282	1118	1829	943	597	1372	2791	2366	955	3571	2144	4061	2901	4190	3709	1744	1617	1695	896	588	1565	3654	1367	1125	7323	43	1874	1400	4472	1488	2271	1524	3273	4043	2434	1632	861	4292	353	252	3684	4146	3017	3568	10	0
PWY-4321: L-glutamate degradation IV	0	0	5	0	52	17	2	0	5	0	15	12	7	6	2	0	1058	8	14	32	0	39	0	22	0	349	102	0	3	0	8	0	0	19	0	0	37	4	0	0	0	0	14	1364	1050	1213	0	0
PWY-4702: phytate degradation I	0	0	55	32	129	87	38	29	67	77	21	155	68	74	127	43	53	162	105	98	9	35	54	61	7	201	367	0	63	0	170	39	45	26	104	281	55	24	14	114	0	9	55	49	38	43	0	0
PWY-4722: creatinine degradation II	0	0	0	0	0	0	0	0	0	0	0	13	0	17	6	0	0	0	9	0	37	0	0	60	0	0	0	0	0	0	28	0	0	0	0	109	0	0	0	0	0	0	0	0	0	0	0	0
PWY-4981: L-proline biosynthesis II (from arginine)	16	129	1038	423	1442	415	262	572	2182	2133	679	2245	1470	3363	1683	3540	1740	571	1008	968	646	189	505	2727	991	392	4856	41	1411	752	2749	1634	1760	1510	2395	3967	2536	1530	813	3675	471	173	4259	1004	772	960	1373	0
PWY-4984: urea cycle	16	108	322	203	231	511	92	123	486	218	206	702	297	741	372	122	279	1070	635	319	272	23	133	447	186	586	858	0	241	176	286	589	352	397	177	584	137	117	91	653	0	74	642	388	273	281	0	0
PWY-5004: superpathway of L-citrulline metabolism	0	0	62	60	70	189	0	61	81	229	97	482	178	44	252	123	0	89	240	236	211	12	0	144	85	385	382	0	106	0	279	33	232	179	37	142	187	135	58	61	0	37	85	0	0	0	0	0
PWY-5005: biotin biosynthesis II	0	1	243	174	261	319	138	835	450	245	133	356	200	275	455	253	135	0	148	0	33	0	210	207	108	567	0	3	436	206	277	86	255	103	296	69	162	75	38	382	18	34	142	109	68	73	0	0
PWY-5022: 4-aminobutanoate degradation V	0	0	247	337	264	129	87	695	861	825	79	627	581	456	1000	97	3762	84	628	566	439	97	291	941	407	1107	2059	0	682	349	1091	388	528	120	162	1338	1343	467	70	293	33	94	185	4206	3194	3673	0	0
PWY-5030: L-histidine degradation III	0	0	1320	2586	1678	2394	749	525	5155	4025	1882	4144	4359	4270	5106	1728	257	1171	2437	2774	2687	1166	1963	3606	2912	1304	7755	6	4639	1442	5798	3930	2518	1910	2826	3490	1879	2153	256	2539	219	525	3348	448	291	397	0	0
PWY-5044: purine nucleotides degradation I (plants)	0	0	0	0	0	0	0	0	0	0	10	0	0	0	0	0	0	0	0	0	0	0	37	0	0	0	35	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
PWY-5055: nicotinate degradation III	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	9	0	0	0	0	0	0	0	0	3	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
PWY-5067: glycogen biosynthesis II (from UDP-D-Glucose)	0	0	0	0	0	0	0	0	0	0	10	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
PWY-5080: very long chain fatty acid biosynthesis I	0	0	0	0	0	0	0	0	0	0	4	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
PWY-5083: NAD/NADH phosphorylation and dephosphorylation	0	3	27	144	293	87	66	0	54	109	33	179	125	94	176	111	3423	35	107	133	6	138	0	299	39	783	546	8	310	0	598	0	215	29	196	1042	451	99	0	496	16	28	345	3568	2791	3116	0	0
PWY-5088: L-glutamate degradation VIII (to propanoate)	0	0	306	405	270	292	0	0	538	678	15	976	489	754	428	348	718	154	605	678	270	112	25	1171	347	0	1156	0	933	0	1688	0	327	328	260	1316	218	256	11	207	0	95	79	1296	787	1157	0	0
PWY-5097: L-lysine biosynthesis VI	13	130	3937	1582	1108	3856	4231	4482	2760	1815	3139	3630	1199	2038	2512	1662	4183	4398	3700	2973	4042	2048	5421	2295	641	3926	5317	61	2821	6150	3115	941	2178	1186	1668	3408	2708	1253	2690	2464	54	348	3693	4645	3690	4067	1694	0
PWY-5100: pyruvate fermentation to acetate and lactate II	0	4	2047	1647	2281	1895	1732	3703	2876	2670	2913	3724	1475	3962	2133	5810	3974	2519	2914	1761	2185	1685	3758	3927	2077	2704	6351	64	2119	4708	2284	3189	2826	1350	4282	5256	3538	1768	2420	5030	959	353	5541	3424	3005	3067	0	0
PWY-5101: L-isoleucine biosynthesis II	0	2	407	83	93	581	427	1111	130	53	1026	251	177	452	75	830	562	555	642	351	558	32	1857	472	112	775	28	11	264	1436	365	91	118	90	10	688	254	38	583	252	31	29	1431	580	467	483	0	0
PWY-5103: L-isoleucine biosynthesis III	19	215	3995	1004	943	2633	4132	5146	954	900	2331	3114	799	1274	1648	1719	4993	5321	3767	3074	4372	2015	4664	2345	553	4637	3158	75	2460	6525	2865	584	1568	1191	906	3488	2802	514	2998	1731	241	277	3759	5558	4303	4874	1903	0
PWY-5104: L-isoleucine biosynthesis IV	0	12	1090	639	806	460	223	595	802	733	1064	1903	680	1156	1207	2224	2798	2216	1151	1230	1193	1763	1363	1640	477	1281	2446	18	1427	1417	1914	575	1212	717	749	2500	1573	438	941	1518	301	118	3098	3218	2601	2795	0	0
PWY-5109: 2-methylbutanoate biosynthesis	0	0	0	6	0	0	0	0	0	6	0	0	6	11	9	0	0	33	0	6	0	0	0	8	0	0	20	0	0	0	8	0	0	0	0	21	10	10	0	0	0	0	13	0	0	0	0	0
PWY-5121: superpathway of geranylgeranyl diphosphate biosynthesis II (via MEP)	0	0	657	534	882	461	346	758	599	1276	763	1378	973	1057	1462	694	2365	1064	982	852	459	421	1028	1412	630	1144	1865	11	1000	779	1794	384	831	464	588	1660	867	729	740	945	86	99	1426	2175	1756	1969	0	0
PWY-5129: sphingolipid biosynthesis (plants)	0	0	0	0	0	0	0	0	0	0	6	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
PWY-5136: fatty acid &beta;-oxidation II (peroxisome)	43	197	174	97	223	140	69	343	176	249	123	346	156	208	275	207	3518	604	165	207	139	148	208	273	115	759	1038	47	222	190	300	110	244	150	263	521	1042	195	58	562	0	32	344	3864	2944	3398	178	0
PWY-5138: unsaturated, even numbered fatty acid &beta;-oxidation	0	0	11	16	104	35	5	0	14	93	52	23	3	38	45	54	3082	28	24	73	0	94	0	88	19	424	171	27	15	7	36	22	119	6	6	61	387	0	0	76	0	0	27	3093	2268	2776	1614	0
PWY-5154: L-arginine biosynthesis III (via N-acetyl-L-citrulline)	16	141	3103	432	200	2316	3389	3499	339	297	2081	1472	308	309	730	403	2554	1910	2115	1575	3062	1584	2335	284	126	2730	872	0	1096	3513	776	248	491	386	212	397	573	105	2105	247	0	138	1342	3150	2638	2797	0	0
PWY-5173: superpathway of acetyl-CoA biosynthesis	14	165	30	8	214	63	57	106	15	119	85	109	44	90	96	287	3073	185	139	107	90	48	86	460	43	487	436	32	103	184	325	92	352	38	129	372	556	115	36	437	168	0	189	3353	2716	2885	1612	0
PWY-5177: glutaryl-CoA degradation	0	0	512	276	850	373	316	897	802	856	706	859	291	1207	581	2397	187	1118	642	671	832	190	1023	961	419	977	1802	15	414	992	576	1038	691	476	1701	1296	745	538	595	1595	251	48	1641	237	213	186	1760	0
PWY-5180: toluene degradation I (aerobic) (via o-cresol)	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	84	0	0	0	0	0	0	0	0	0	0	0	0	21	0	0	0	0	0	0	0	0	0	0	0
PWY-5181: toluene degradation III (aerobic) (via p-cresol)	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	6	0	0	0	0	0	0	0	0	0	0	0	0	13	0	0	0	0	0	0	0	0	0	0	0
PWY-5182: toluene degradation II (aerobic) (via 4-methylcatechol)	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	84	0	0	0	0	0	0	0	0	0	0	0	0	21	0	0	0	0	0	0	0	0	0	0	0
